!amt_assignment_ids,!amt_worker_ids,!comment,!hypothesis,hypothesis,id,task,text,unit_id,value
YV6ZG2H0A0B8Z5X1WW50A3HZX1YQFWVZQK9TSXRZ,A11GX90QFWDLMM,"",Yes,"The parties that consulted by Zeroual during the past few weeks has She wished to throughout the elections saying the deadline left behind by President to the end February very short notice
",1353,MT,"The parties, which Zeroual consulted during the past few weeks, had expressed their desire to postpone the elections, arguing that the interval given by the president until the end of February was very short.",148637,FALSE
YV6ZG2H0A0B8Z5X1WW50A3HZX1YQFWVZQK9TSXRZ,A11GX90QFWDLMM,"",No,"The funeral party held signs denouncing Americans as &quot;enemies of God,&quot; outside the UNDP in Baghdad.
",1154,MT,"The funeral procession headed to the headquarters of the United Nations Development Programme in Baghdad, where funeral goers held banners denouncing the Americans as &quot;Enemies of God.&quot;",148648,TRUE
YV6ZG2H0A0B8Z5X1WW50A3HZX1YQFWVZQK9TSXRZ,A11GX90QFWDLMM,"",Yes,"The statement added that King Hussein &quot;has been cured completely.&quot;
",1310,MT,"Although the hospital insists that King Hussein is not fully free of the cancer, they are hopeful that he will recover.",148647,FALSE
SS3PM4ZK19EG77Z2NXRZ58KZSW0A0K9EJAG2JZ4Z,A1Q4VUJBMY78YR,Well,Yes,"Aldrin was one of the astronauts honored by NASA at the Smithsonian National Air and Space Museum.
",1383,CD,"The crew of Apollo 11, Neil Armstrong, Buzz Aldrin and Michael Collins, and other early astronauts were named &quot;Ambassadors of Exploration&quot; in a ceremony at the Smithsonian National Air and Space Museum.",148280,TRUE
SS3PM4ZK19EG77Z2NXRZ58KZSW0A0K9EJAG2JZ4Z,A1Q4VUJBMY78YR,Good,Yes,"Tenochtitlan quickly spread over the island, marshes, and swamps.
",731,CD,The city Tenochtitlan grew rapidly and was the center of the Aztec&apos;s great empire.,148268,FALSE
SS3PM4ZK19EG77Z2NXRZ58KZSW0A0K9EJAG2JZ4Z,A1Q4VUJBMY78YR,Well,Yes,"Excluding these items, Seagate would have posted earnings of $462 million, or 93 cents a share.
",1401,CD,"Excluding restructuring costs and the associated tax impact, net income for the recent quarter would have been $4 million, Seagate said.",148279,FALSE
SS3PM4ZK19EG77Z2NXRZ58KZSW0A0K9EJAG2JZ4Z,A1Q4VUJBMY78YR,Good,Yes,"Warsaw became a town in Prussia.
",692,CD,"The national insurrection of 1794, led by Tadeusz Kosciuszko against the Russo-Prussian second partition, was brutally crushed; the ensuing third partition of Poland among Russia, Prussia, and Austria left Warsaw a provincial town of South Prussia.",148267,TRUE
SS3PM4ZK19EG77Z2NXRZ58KZSW0A0K9EJAG2JZ4Z,A1Q4VUJBMY78YR,Well,Yes,"People known as mestizos are of mixed European and Indian descent.
",747,CD,"The city was traditionally inhabited by mestizos ( people of mixed European and Indian descent ) and criollos ( Mexicans of European descent ), but steady immigration from the countryside has given it a more Indian character.",148278,TRUE
SS3PM4ZK19EG77Z2NXRZ58KZSW0A0K9EJAG2JZ4Z,A1Q4VUJBMY78YR,Good,Yes,"Satomi Mitarai bled to death.
",822,CD,Satomi Mitarai died of blood loss.,148266,TRUE
SS3PM4ZK19EG77Z2NXRZ58KZSW0A0K9EJAG2JZ4Z,A1Q4VUJBMY78YR,Well,Yes,"Israeli Prime Minister Ariel Sharon threatened to fire cabinet opponents of his Gaza withdrawal plan.
",845,CD,Israeli Prime Minister Ariel Sharon threatened to dismiss Cabinet ministers who don&apos;t support his plan to withdraw from the Gaza Strip.,148277,TRUE
SS3PM4ZK19EG77Z2NXRZ58KZSW0A0K9EJAG2JZ4Z,A1Q4VUJBMY78YR,Good,Yes,"Poor air circulation out of the mountain-walled Mexico City aggravates pollution.
",754,CD,Mexico City has a very bad pollution problem because the mountains around the city act as walls and block in dust and smog.,148265,TRUE
SS3PM4ZK19EG77Z2NXRZ58KZSW0A0K9EJAG2JZ4Z,A1Q4VUJBMY78YR,Well,No,"President Nicanor Duarte called the tragedy &quot;a moment of great anguish&quot; for his country as he visited the scene.
",2144,CD,President Nicanor Duarte Frutos asked the private sector to help the state&apos;s overwhelmed public health system.,148276,FALSE
SS3PM4ZK19EG77Z2NXRZ58KZSW0A0K9EJAG2JZ4Z,A1Q4VUJBMY78YR,Good,Yes,"The Clark County medical examiner&apos;s office put the dead man&apos;s age at 33.
",837,CD,The Clark County medical examiner&apos;s office said the man who was killed was 33 years old.,148275,TRUE
SS3PM4ZK19EG77Z2NXRZ58KZSW0A0K9EJAG2JZ4Z,A1Q4VUJBMY78YR,Good,Yes,"A convert to Christianity, Vanunu has sequestered himself at a Jerusalem church since he was freed on April 21.
",1808,CD,"Vanunu converted to Christianity while in prison, and has been living in an anglican cathedral in Jerusalem since his release on April 21.",148274,TRUE
SS3PM4ZK19EG77Z2NXRZ58KZSW0A0K9EJAG2JZ4Z,A1Q4VUJBMY78YR,Good,Yes,"The Alameda Central is west of the Zocalo.
",755,CD,The Alameda Central ( Central Mall ) roughly marks the western edge of the old colonial city.,148273,FALSE
SS3PM4ZK19EG77Z2NXRZ58KZSW0A0K9EJAG2JZ4Z,A1Q4VUJBMY78YR,Well,Yes,"Bob Bickel, vice president of strategy and corporate development at JBoss, said commercial use remains somewhat constrained because a CIO doesn&apos;t know whom they can turn to for support.
",861,CD,"Customers are starting to feel more comfortable with open source software, and they are even more comfortable if a big company like H-P stands behind it, said Bob Bickel, vice president for corporate strategy and development at JBoss.",148284,FALSE
SS3PM4ZK19EG77Z2NXRZ58KZSW0A0K9EJAG2JZ4Z,A1Q4VUJBMY78YR,Good,Yes,"Asians have an even higher rate of incidence---1 of every 5 suffers from hyperhidrosis.
",1376,CD,Hyperhidrosis is more common than you think. This condition affects 1 out of 25 people.,148272,FALSE
SS3PM4ZK19EG77Z2NXRZ58KZSW0A0K9EJAG2JZ4Z,A1Q4VUJBMY78YR,Well,Yes,"Egyptian driver Mohammed al-Gharabawi was freed after the Saudi firm he worked for met kidnappers&apos; demands by promising to stop doing work in Iraq.
",1363,CD,"A Filipino truck driver held hostage in Iraq for two weeks has been freed, a day after Manila withdrew its troops in response to demands from kidnappers who had threatened to behead him.",148283,FALSE
SS3PM4ZK19EG77Z2NXRZ58KZSW0A0K9EJAG2JZ4Z,A1Q4VUJBMY78YR,Good,Yes,"The Turks held Buda between 1541 and 1686.
",704,CD,In 1541 the Turks took the Buda and held it until 1686; the city changed very little during this time.,148271,TRUE
SS3PM4ZK19EG77Z2NXRZ58KZSW0A0K9EJAG2JZ4Z,A1Q4VUJBMY78YR,Well,Yes,"The more driving you do means you&apos;re going to weigh more -- the more walking means you&apos;re going to weigh less.
",858,CD,"Each hour spent in a car was associated with a 6 percent increase in the likelihood of obesity and each half-mile walked per day reduced those odds by nearly 5 percent, the researchers found.",148282,TRUE
SS3PM4ZK19EG77Z2NXRZ58KZSW0A0K9EJAG2JZ4Z,A1Q4VUJBMY78YR,Good,Yes,"Governor of Iran&apos;s Qazvin province, Massoud Emami, and eight others were killed
",864,CD,"Massoud Emami, governor of Iran&apos;s northwestern province of Qazvin, and at least 8 others on abroad a helicopter were killed in a crash.",148270,TRUE
SS3PM4ZK19EG77Z2NXRZ58KZSW0A0K9EJAG2JZ4Z,A1Q4VUJBMY78YR,Well,Yes,"Massoud Emami, governor of Iran&apos;s northwestern province of Qazvin, and at least 9 others on abroad a helicopter were killed in a crash Saturday afternoon.
",863,CD,"The governor of Qazvin province Massoud Emami, his deputy, the province&apos;s head of police and three crew died when a helicopter taking them to inspect the earthquake zone crashed on Saturday.",148281,FALSE
SS3PM4ZK19EG77Z2NXRZ58KZSW0A0K9EJAG2JZ4Z,A1Q4VUJBMY78YR,Good,Yes,"About 70 foreigners have been abducted by militants fighting the U.S.-led occupation and reconstruction efforts in Iraq.
",1865,CD,Militant groups in Iraq have waged a kidnapping campaign aimed at driving out U.S. supporting companies and troops.,148269,FALSE
1Z7ZYG985SBRYJY46G0ZJZCZKEZP0WC6QTW4PA6Z,A11GX90QFWDLMM,"",No,"Raymond Eddeh, the opposition leader in the Lebanon, said that Lahoud&apos;s election as President of Syira, constitutes a &quot;democratic threat.&quot;
",1203,MT,"Raymond Eddeh, one of the Lebanese Christian opposition leaders, considered today, that the election of the Commander of the Lebanese Army, General Emile Lahoud as President of the Lebanese Republic, would constitute &quot;a threat to democracy.&quot;",148741,FALSE
1Z7ZYG985SBRYJY46G0ZFB06Q90WKXKZWVZ5TZZZ,A1Q4VUJBMY78YR,Best,Yes,"Raymond Eddeh, the opposition leader in the Lebanon, said that Lahoud&apos;s election as President of Syira, constitutes a &quot;democratic threat.&quot;
",1203,MT,"Raymond Eddeh, one of the Lebanese Christian opposition leaders, considered today, that the election of the Commander of the Lebanese Army, General Emile Lahoud as President of the Lebanese Republic, would constitute &quot;a threat to democracy.&quot;",148741,FALSE
1Z7ZYG985SBRYJY46G0ZCWWZMHHHMYSJ4GZZ8XRZ,AK7YVYGMIF6T0,"",No,"Raymond Eddeh, the opposition leader in the Lebanon, said that Lahoud&apos;s election as President of Syira, constitutes a &quot;democratic threat.&quot;
",1203,MT,"Raymond Eddeh, one of the Lebanese Christian opposition leaders, considered today, that the election of the Commander of the Lebanese Army, General Emile Lahoud as President of the Lebanese Republic, would constitute &quot;a threat to democracy.&quot;",148741,FALSE
1Z7ZYG985SBRYJY46G0ZJZCZKEZP0WC6QTW4PA6Z,A11GX90QFWDLMM,"",Yes,"There was great interest in nomination for the Congress from all candidates.
",1278,MT,"Syrian Interior Minister Mohammad Harba said in a statement reported by the &quot;SANA&quot; News Agency that &quot;the great interest in nomination for the People&apos;s Congress membership and the wide activity that accompanied it by the candidates, whether they were from the Progressive National Front or from the independent candidates, expressed the full maturity of the cause of democracy in our country.&quot;",148730,TRUE
1Z7ZYG985SBRYJY46G0ZFB06Q90WKXKZWVZ5TZZZ,A1Q4VUJBMY78YR,Bad,No,"There was great interest in nomination for the Congress from all candidates.
",1278,MT,"Syrian Interior Minister Mohammad Harba said in a statement reported by the &quot;SANA&quot; News Agency that &quot;the great interest in nomination for the People&apos;s Congress membership and the wide activity that accompanied it by the candidates, whether they were from the Progressive National Front or from the independent candidates, expressed the full maturity of the cause of democracy in our country.&quot;",148730,TRUE
1Z7ZYG985SBRYJY46G0ZCWWZMHHHMYSJ4GZZ8XRZ,AK7YVYGMIF6T0,"",Yes,"There was great interest in nomination for the Congress from all candidates.
",1278,MT,"Syrian Interior Minister Mohammad Harba said in a statement reported by the &quot;SANA&quot; News Agency that &quot;the great interest in nomination for the People&apos;s Congress membership and the wide activity that accompanied it by the candidates, whether they were from the Progressive National Front or from the independent candidates, expressed the full maturity of the cause of democracy in our country.&quot;",148730,TRUE
1Z7ZYG985SBRYJY46G0ZJZCZKEZP0WC6QTW4PA6Z,A11GX90QFWDLMM,"",Yes,"48% of the poll say that Congress is unsatisfactory, and 53% believe that President Clinton deserves to be replaced.
",1174,MT,"On the other hand, 48% of those included in the poll think that Congress is not handling this case satisfactorily, but 53% of them believe that President Clinton deserves to be censored.",148729,FALSE
1Z7ZYG985SBRYJY46G0ZFB06Q90WKXKZWVZ5TZZZ,A1Q4VUJBMY78YR,Bad,No,"48% of the poll say that Congress is unsatisfactory, and 53% believe that President Clinton deserves to be replaced.
",1174,MT,"On the other hand, 48% of those included in the poll think that Congress is not handling this case satisfactorily, but 53% of them believe that President Clinton deserves to be censored.",148729,FALSE
1Z7ZYG985SBRYJY46G0ZCWWZMHHHMYSJ4GZZ8XRZ,AK7YVYGMIF6T0,"",No,"48% of the poll say that Congress is unsatisfactory, and 53% believe that President Clinton deserves to be replaced.
",1174,MT,"On the other hand, 48% of those included in the poll think that Congress is not handling this case satisfactorily, but 53% of them believe that President Clinton deserves to be censored.",148729,FALSE
1Z7ZYG985SBRYJY46G0ZJZCZKEZP0WC6QTW4PA6Z,A11GX90QFWDLMM,"",No,"Iowa is lost.
",2102,MT,"Iowa has lost 26,000 manufacturing jobs since Bush took office.",148739,FALSE
1Z7ZYG985SBRYJY46G0ZFB06Q90WKXKZWVZ5TZZZ,A1Q4VUJBMY78YR,Well,No,"Iowa is lost.
",2102,MT,"Iowa has lost 26,000 manufacturing jobs since Bush took office.",148739,FALSE
1Z7ZYG985SBRYJY46G0ZCWWZMHHHMYSJ4GZZ8XRZ,AK7YVYGMIF6T0,"",No,"Iowa is lost.
",2102,MT,"Iowa has lost 26,000 manufacturing jobs since Bush took office.",148739,FALSE
1Z7ZYG985SBRYJY46G0ZJZCZKEZP0WC6QTW4PA6Z,A11GX90QFWDLMM,"",Yes,"Netanyahu could be displaced by the radical right.
",1335,MT,"Yet, he did not succeed in changing the position of Netanyahu, who again opted to appease the Israeli radical right, which threatens to bring down his government and rejects any concessions under the framework of the peace process.",148728,TRUE
1Z7ZYG985SBRYJY46G0ZFB06Q90WKXKZWVZ5TZZZ,A1Q4VUJBMY78YR,Bad,Yes,"Netanyahu could be displaced by the radical right.
",1335,MT,"Yet, he did not succeed in changing the position of Netanyahu, who again opted to appease the Israeli radical right, which threatens to bring down his government and rejects any concessions under the framework of the peace process.",148728,TRUE
1Z7ZYG985SBRYJY46G0ZCWWZMHHHMYSJ4GZZ8XRZ,AK7YVYGMIF6T0,"",No,"Netanyahu could be displaced by the radical right.
",1335,MT,"Yet, he did not succeed in changing the position of Netanyahu, who again opted to appease the Israeli radical right, which threatens to bring down his government and rejects any concessions under the framework of the peace process.",148728,TRUE
1Z7ZYG985SBRYJY46G0ZJZCZKEZP0WC6QTW4PA6Z,A11GX90QFWDLMM,"",Yes,"During his trip to the east of the Middle which lasted three days , the Clinton to first visit to American President to the occupied Palestinian territories and participated in meeting tripartite cooperation with Israeli Prime Minister Benjamin Netanyahu and Palestinian President , Yasser Arafat
",1336,MT,"During his trip to the Middle East that took three days, Clinton made the first visit by an American president to the Palestinian Territories and participated in a three-way meeting with Israeli Prime Minister Benjamin Netanyahu and Palestinian President Yasser Arafat.",148740,FALSE
1Z7ZYG985SBRYJY46G0ZFB06Q90WKXKZWVZ5TZZZ,A1Q4VUJBMY78YR,Best,Yes,"During his trip to the east of the Middle which lasted three days , the Clinton to first visit to American President to the occupied Palestinian territories and participated in meeting tripartite cooperation with Israeli Prime Minister Benjamin Netanyahu and Palestinian President , Yasser Arafat
",1336,MT,"During his trip to the Middle East that took three days, Clinton made the first visit by an American president to the Palestinian Territories and participated in a three-way meeting with Israeli Prime Minister Benjamin Netanyahu and Palestinian President Yasser Arafat.",148740,FALSE
1Z7ZYG985SBRYJY46G0ZCWWZMHHHMYSJ4GZZ8XRZ,AK7YVYGMIF6T0,"",No,"During his trip to the east of the Middle which lasted three days , the Clinton to first visit to American President to the occupied Palestinian territories and participated in meeting tripartite cooperation with Israeli Prime Minister Benjamin Netanyahu and Palestinian President , Yasser Arafat
",1336,MT,"During his trip to the Middle East that took three days, Clinton made the first visit by an American president to the Palestinian Territories and participated in a three-way meeting with Israeli Prime Minister Benjamin Netanyahu and Palestinian President Yasser Arafat.",148740,FALSE
1Z7ZYG985SBRYJY46G0ZJZCZKEZP0WC6QTW4PA6Z,A11GX90QFWDLMM,"",Yes,"The Security Council wants Iraq to change its decision.
",1166,MT,"The Security Council, yesterday, &quot;unanimously&quot; condemned Iraq&apos;s decision to sever the relationship with the United Nations Special Commission in charge of disarming Iraqi weapons of mass destruction, and asked Baghdad &quot;to repeal its decision immediately and unconditionally.&quot;",148738,TRUE
1Z7ZYG985SBRYJY46G0ZFB06Q90WKXKZWVZ5TZZZ,A1Q4VUJBMY78YR,Well,No,"The Security Council wants Iraq to change its decision.
",1166,MT,"The Security Council, yesterday, &quot;unanimously&quot; condemned Iraq&apos;s decision to sever the relationship with the United Nations Special Commission in charge of disarming Iraqi weapons of mass destruction, and asked Baghdad &quot;to repeal its decision immediately and unconditionally.&quot;",148738,TRUE
1Z7ZYG985SBRYJY46G0ZCWWZMHHHMYSJ4GZZ8XRZ,AK7YVYGMIF6T0,"",Yes,"The Security Council wants Iraq to change its decision.
",1166,MT,"The Security Council, yesterday, &quot;unanimously&quot; condemned Iraq&apos;s decision to sever the relationship with the United Nations Special Commission in charge of disarming Iraqi weapons of mass destruction, and asked Baghdad &quot;to repeal its decision immediately and unconditionally.&quot;",148738,TRUE
1Z7ZYG985SBRYJY46G0ZJZCZKEZP0WC6QTW4PA6Z,A11GX90QFWDLMM,"",Yes,"One of the 13 forms of mistreatment is &quot;From Beirut&quot;, where the victim is beaten while naked on the floor.
",1192,MT,"The report listed 13 forms of maltreatment - including the so-called &quot;From Beirut&quot;, where the victim and is stripped and beaten with force while lying on the ground.",148737,TRUE
1Z7ZYG985SBRYJY46G0ZFB06Q90WKXKZWVZ5TZZZ,A1Q4VUJBMY78YR,Well,No,"One of the 13 forms of mistreatment is &quot;From Beirut&quot;, where the victim is beaten while naked on the floor.
",1192,MT,"The report listed 13 forms of maltreatment - including the so-called &quot;From Beirut&quot;, where the victim and is stripped and beaten with force while lying on the ground.",148737,TRUE
1Z7ZYG985SBRYJY46G0ZCWWZMHHHMYSJ4GZZ8XRZ,AK7YVYGMIF6T0,"",Yes,"One of the 13 forms of mistreatment is &quot;From Beirut&quot;, where the victim is beaten while naked on the floor.
",1192,MT,"The report listed 13 forms of maltreatment - including the so-called &quot;From Beirut&quot;, where the victim and is stripped and beaten with force while lying on the ground.",148737,TRUE
1Z7ZYG985SBRYJY46G0ZJZCZKEZP0WC6QTW4PA6Z,A11GX90QFWDLMM,"",Yes,"He shows that worked together to reject the British colonial power.
",1267,MT,"He said that the episodes also show &quot;the Copt&apos;s rejection of the British colonial power&apos;s attempts to incite sectarian subversion amidst the 1919 revolution, which was distinguished by the standing of Moslems and Copts on one side in the face of the colonial power.&quot;",148736,FALSE
1Z7ZYG985SBRYJY46G0ZFB06Q90WKXKZWVZ5TZZZ,A1Q4VUJBMY78YR,Well,No,"He shows that worked together to reject the British colonial power.
",1267,MT,"He said that the episodes also show &quot;the Copt&apos;s rejection of the British colonial power&apos;s attempts to incite sectarian subversion amidst the 1919 revolution, which was distinguished by the standing of Moslems and Copts on one side in the face of the colonial power.&quot;",148736,FALSE
1Z7ZYG985SBRYJY46G0ZCWWZMHHHMYSJ4GZZ8XRZ,AK7YVYGMIF6T0,"",No,"He shows that worked together to reject the British colonial power.
",1267,MT,"He said that the episodes also show &quot;the Copt&apos;s rejection of the British colonial power&apos;s attempts to incite sectarian subversion amidst the 1919 revolution, which was distinguished by the standing of Moslems and Copts on one side in the face of the colonial power.&quot;",148736,FALSE
1Z7ZYG985SBRYJY46G0ZJZCZKEZP0WC6QTW4PA6Z,A11GX90QFWDLMM,"",Yes,"Insurgents slaughtered by American ground forces.
",1420,PP,The American ground forces clashed with the insurgents for hours.,148747,FALSE
1Z7ZYG985SBRYJY46G0ZFB06Q90WKXKZWVZ5TZZZ,A1Q4VUJBMY78YR,Best,Yes,"Insurgents slaughtered by American ground forces.
",1420,PP,The American ground forces clashed with the insurgents for hours.,148747,FALSE
1Z7ZYG985SBRYJY46G0ZCWWZMHHHMYSJ4GZZ8XRZ,AK7YVYGMIF6T0,"",No,"Insurgents slaughtered by American ground forces.
",1420,PP,The American ground forces clashed with the insurgents for hours.,148747,FALSE
1Z7ZYG985SBRYJY46G0ZJZCZKEZP0WC6QTW4PA6Z,A11GX90QFWDLMM,"",Yes,"5-year-old, family prepare for risky bone marrow transplant.
",1995,PP,"5-year-old, family prepare for risky marrow transplant.",148746,TRUE
1Z7ZYG985SBRYJY46G0ZFB06Q90WKXKZWVZ5TZZZ,A1Q4VUJBMY78YR,Best,Yes,"5-year-old, family prepare for risky bone marrow transplant.
",1995,PP,"5-year-old, family prepare for risky marrow transplant.",148746,TRUE
1Z7ZYG985SBRYJY46G0ZCWWZMHHHMYSJ4GZZ8XRZ,AK7YVYGMIF6T0,"",Yes,"5-year-old, family prepare for risky bone marrow transplant.
",1995,PP,"5-year-old, family prepare for risky marrow transplant.",148746,TRUE
1Z7ZYG985SBRYJY46G0ZJZCZKEZP0WC6QTW4PA6Z,A11GX90QFWDLMM,"",Yes,"Approximately 4,000 people are dead already, more bodies are still being found, and there are still many people missing.
",1270,MT,"President Arnoldo Aleman conceeded that the death toll was approximately 4,000, and a spokesman for the Government, Gilberto Wing, admitted many people were missing, and that bodies were still being found in some isolated areas.",148735,TRUE
1Z7ZYG985SBRYJY46G0ZFB06Q90WKXKZWVZ5TZZZ,A1Q4VUJBMY78YR,Well,No,"Approximately 4,000 people are dead already, more bodies are still being found, and there are still many people missing.
",1270,MT,"President Arnoldo Aleman conceeded that the death toll was approximately 4,000, and a spokesman for the Government, Gilberto Wing, admitted many people were missing, and that bodies were still being found in some isolated areas.",148735,TRUE
1Z7ZYG985SBRYJY46G0ZCWWZMHHHMYSJ4GZZ8XRZ,AK7YVYGMIF6T0,"",Yes,"Approximately 4,000 people are dead already, more bodies are still being found, and there are still many people missing.
",1270,MT,"President Arnoldo Aleman conceeded that the death toll was approximately 4,000, and a spokesman for the Government, Gilberto Wing, admitted many people were missing, and that bodies were still being found in some isolated areas.",148735,TRUE
1Z7ZYG985SBRYJY46G0ZJZCZKEZP0WC6QTW4PA6Z,A11GX90QFWDLMM,"",Yes,"Yemeni police killed the hostage tourists yesterday when they raided the place where their kidnappers had been holding them.
",1248,MT,Three British tourists and a fourth who is Australian were killed yesterday when Yemeni police stormed the location where the hostages were detained in order to free them from their kidnappers. Two other tourists were wounded.,148734,FALSE
1Z7ZYG985SBRYJY46G0ZFB06Q90WKXKZWVZ5TZZZ,A1Q4VUJBMY78YR,Well,No,"Yemeni police killed the hostage tourists yesterday when they raided the place where their kidnappers had been holding them.
",1248,MT,Three British tourists and a fourth who is Australian were killed yesterday when Yemeni police stormed the location where the hostages were detained in order to free them from their kidnappers. Two other tourists were wounded.,148734,FALSE
1Z7ZYG985SBRYJY46G0ZCWWZMHHHMYSJ4GZZ8XRZ,AK7YVYGMIF6T0,"",No,"Yemeni police killed the hostage tourists yesterday when they raided the place where their kidnappers had been holding them.
",1248,MT,Three British tourists and a fourth who is Australian were killed yesterday when Yemeni police stormed the location where the hostages were detained in order to free them from their kidnappers. Two other tourists were wounded.,148734,FALSE
1Z7ZYG985SBRYJY46G0ZJZCZKEZP0WC6QTW4PA6Z,A11GX90QFWDLMM,"",No,"The girl was discovered in Drummondville.
",1987,PP,The girl was found in Drummondville earlier this month.,148745,TRUE
1Z7ZYG985SBRYJY46G0ZFB06Q90WKXKZWVZ5TZZZ,A1Q4VUJBMY78YR,Best,Yes,"The girl was discovered in Drummondville.
",1987,PP,The girl was found in Drummondville earlier this month.,148745,TRUE
1Z7ZYG985SBRYJY46G0ZCWWZMHHHMYSJ4GZZ8XRZ,AK7YVYGMIF6T0,"",Yes,"The girl was discovered in Drummondville.
",1987,PP,The girl was found in Drummondville earlier this month.,148745,TRUE
1Z7ZYG985SBRYJY46G0ZJZCZKEZP0WC6QTW4PA6Z,A11GX90QFWDLMM,"",Yes,"The poll was carried out on the 6th and 7th of October.
",1175,MT,"The opinion poll was conducted on the sixth and seventh of October, and included a cross section of 861 adults with a margin of error estimated at 4%.",148744,TRUE
1Z7ZYG985SBRYJY46G0ZFB06Q90WKXKZWVZ5TZZZ,A1Q4VUJBMY78YR,Best,Yes,"The poll was carried out on the 6th and 7th of October.
",1175,MT,"The opinion poll was conducted on the sixth and seventh of October, and included a cross section of 861 adults with a margin of error estimated at 4%.",148744,TRUE
1Z7ZYG985SBRYJY46G0ZCWWZMHHHMYSJ4GZZ8XRZ,AK7YVYGMIF6T0,"",Yes,"The poll was carried out on the 6th and 7th of October.
",1175,MT,"The opinion poll was conducted on the sixth and seventh of October, and included a cross section of 861 adults with a margin of error estimated at 4%.",148744,TRUE
1Z7ZYG985SBRYJY46G0ZJZCZKEZP0WC6QTW4PA6Z,A11GX90QFWDLMM,"",No,"Demonstrators gave the right-wing senator a rude gesture.
",1319,MT,"The demonstrators were calling for a trial of the right-wing politician, and on seeing them, he gave them a rude gesture, and the police then had to stop four demonstrators who tried to chace the senator.",148733,FALSE
